,Drug1,Drug2
27072,L04A,D11A
27073,S01A,G04B
27074,M03B,N06A
27075,N06B,B05X
27076,C02A,M01A
27077,L01B,G04C
27078,S01A,C08C
27079,V03A,L01B
27080,J05A,J05A
27081,G03A,C05A
27082,A02B,C02A
27083,N03A,R03A
27084,J02A,A04A
27085,N03A,J05A
27086,C08C,M05B
27087,J05A,C03C
27088,A02B,C09A
27089,M05B,A07E
27090,N06A,N03A
27091,S01E,N05C
27092,B05X,C09C
27093,N03A,J01F
27094,N02A,C07A
27095,S01A,N05A
27096,J02A,N05C
27097,L01C,M05B
27098,A04A,V03A
27099,R06A,N03A
27100,C01E,J05A
27101,N03A,R03D
27102,R06A,L01X
27103,L02B,D11A
27104,N03A,N02C
27105,L01C,G04C
27106,C09A,N06A
27107,C09A,C02C
27108,N03A,N03A
27109,S01E,A02B
27110,S01E,A04A
27111,A02B,D01A
27112,N03A,J05A
27113,M05B,M03B
27114,S01A,P01B
27115,C09A,N05C
27116,M05B,B03B
27117,A03B,A10B
27118,H02A,S01E
27119,N05A,A04A
27120,N05A,A02B
27121,C10A,S01E
27122,N07B,A06A
27123,B05X,M03A
27124,S01E,M05B
27125,D08A,A10B
27126,A10B,N06B
27127,A10B,H02A
27128,A10B,C09C
27129,N05A,D11A
27130,H02A,M03A
27131,N05B,A02B
27132,J01D,J01F
27133,C09A,A10B
27134,A02B,L01C
27135,J05A,J05A
27136,L01X,L01X
27137,J01A,J02A
27138,C07A,C07A
27139,C09C,R03D
27140,B03B,N02C
27141,C09C,R03A
27142,C09C,J05A
27143,L01X,L01C
27144,C01E,A10B
27145,N03A,J01D
27146,B03B,J05A
27147,J01X,N06A
27148,C07A,N07B
27149,C07A,N05B
27150,C03C,C10A
27151,V03A,N06A
27152,V03A,L01A
27153,C01B,L01X
27154,J01X,C08C
27155,J01D,R06A
27156,M01A,B01A
27157,L02B,N05B
27158,M05B,L01C
27159,N05A,A06A
27160,S01A,N06A
27161,B03B,C07A
27162,J01D,C10A
27163,C10A,C03D
27164,J01A,M05B
27165,C07A,L04A
27166,L04A,A02B
27167,C03C,A02B
27168,M01A,N02C
27169,M01A,N02C
27170,C07A,S01E
27171,L01B,L04A
27172,C09C,A02B
27173,C03C,C05A
27174,D11A,D01A
27175,D11A,G04C
27176,C07A,G04C
27177,N05B,N05C
27178,J01D,M04A
27179,J01C,C09C
27180,M02A,L04A
27181,J01A,G04C
27182,N05B,A06A
27183,C10A,L04A
27184,C09A,G04B
27185,B05C,L01B
27186,N02C,M02A
27187,C10A,P01B
27188,C10A,N07A
27189,G04C,C09C
27190,C10A,A10B
27191,C08D,J01A
27192,G04C,L02A
27193,C10A,A10B
27194,L04A,N02C
27195,J01D,M04A
27196,J01C,M01A
27197,C08D,A10B
27198,J02A,L01X
27199,A10B,C07A
27200,L01D,L01C
27201,N03A,A10B
27202,J01D,C01D
27203,C08D,L02A
27204,L02B,N06A
27205,C01E,A07D
27206,J02A,A02B
27207,J02A,S01A
27208,N03A,M01A
27209,N05C,B01A
27210,H02A,N03A
27211,J02A,G03A
27212,R01A,L02A
27213,R01A,R06A
27214,D01A,R01A
27215,C10A,M03B
27216,H03A,M05B
27217,A04A,B01A
27218,G03X,C09A
27219,C10A,B01A
27220,J05A,J05A
27221,L02A,R06A
27222,B03B,M02A
27223,N04B,M05B
27224,N03A,N05A
27225,N01A,S01A
27226,N05A,M02A
27227,N06B,L01X
27228,A02B,A02B
27229,R06A,A10B
27230,C09A,H01B
27231,V03A,R03A
27232,C01D,N04B
27233,N02B,J05A
27234,C01D,L01C
27235,H03A,D01A
27236,L04A,J05A
27237,C03A,C09A
27238,B01A,C08C
27239,H02A,D11A
27240,H03A,N05A
27241,N05A,C08C
27242,A04A,G04C
27243,C09C,D10A
27244,A02B,J01X
27245,V03A,B01A
27246,A02B,S01E
27247,C09C,S01A
27248,N01B,H02A
27249,L04A,J01E
27250,N06A,B05X
27251,C08C,J01D
27252,N03A,L01X
27253,L01B,N06A
27254,D11A,J01F
27255,N06A,N03A
27256,V03A,S01E
27257,B01A,L01A
27258,C09C,B01A
27259,A02B,L01X
27260,L04A,M01A
27261,J01C,M02A
27262,M03B,H02A
27263,S01A,L01X
27264,N06A,D01A
27265,C08D,L01X
27266,G03A,D01A
27267,R01A,R01A
27268,L01X,N05C
27269,N01A,A04A
27270,N03A,D10A
27271,C10A,G04C
27272,N05C,A07D
27273,N05C,C09A
27274,M03B,M01A
27275,N03A,S01A
27276,N06A,D01A
27277,B03B,L01X
27278,A03F,C03D
27279,B03B,P01B
27280,B05C,M03A
27281,M02A,L02B
27282,N06B,C10A
27283,B03B,N05B
27284,L01X,J01X
27285,C10A,D10A
27286,J01C,A02B
27287,N04B,N04B
27288,C02C,C09C
27289,S01E,J01X
27290,G04B,N07B
27291,S01E,H01B
27292,N05C,A02B
27293,R01A,L01X
27294,C09A,N06B
27295,R01A,C02C
27296,B01A,C09A
27297,R01A,H02A
27298,C01D,J02A
27299,C03B,C08C
27300,M02A,M05B
27301,H03A,C09A
27302,R06A,V03A
27303,B01A,V03A
27304,L01D,S01A
27305,N06A,R06A
27306,M02A,A07E
27307,S01E,G04B
27308,J01D,C10A
27309,H03A,N05B
27310,J02A,C10A
27311,C01B,C01D
27312,H03A,C09A
27313,A04A,N05B
27314,B01A,L02B
27315,S01E,L01B
27316,R06A,S01E
27317,C02C,C10A
27318,A02B,L01X
27319,M04A,R03D
27320,M01A,H02A
27321,A16A,D01A
27322,A10B,S01A
27323,N05A,C09C
27324,L01X,A06A
27325,H02A,P01A
27326,C01D,J01C
27327,N02A,N04B
27328,V03A,S01A
27329,L04A,J05A
27330,N06A,N05B
27331,A02B,B01A
27332,C10A,C09C
27333,C03B,C09A
27334,C01B,N05C
27335,L04A,L01X
27336,B03B,L02B
27337,C07A,B01A
27338,C07A,N03A
27339,L01D,L01C
27340,N03A,L02B
27341,B03B,S01A
27342,J01D,C01D
27343,S01A,C01E
27344,M02A,N05A
27345,M01A,R01A
27346,P01A,N06A
27347,C08C,J05A
27348,C09A,N05C
27349,M02A,C04A
27350,C09A,N05C
27351,N06A,D07A
27352,D01A,L01C
27353,N05A,C10A
27354,J01D,M02A
27355,J01D,M01A
27356,N02A,A04A
27357,L01C,A02B
27358,B01A,L01X
27359,V03A,B01A
27360,J01F,L01B
27361,J01F,C10A
27362,J01F,S01A
27363,J05A,C10A
27364,M03B,B01A
27365,C10A,V03A
27366,V03A,L01X
27367,C09A,M01A
27368,C09C,J01A
27369,C09A,N07B
27370,R06A,C10A
27371,A10B,L01D
27372,D01A,A04A
27373,D01A,A02B
27374,N05C,J05A
27375,M05B,S01A
27376,D05A,J01X
27377,D05A,C09C
27378,S01E,L01X
27379,R03A,G04B
27380,R03A,G04B
27381,A04A,N06A
27382,C09A,L01X
27383,C09A,G04C
27384,D10A,R01A
27385,J01F,A03F
27386,J01F,J02A
27387,L01D,C08C
27388,C02A,C09A
27389,P01A,C09C
27390,G04C,A10B
27391,J05A,A07E
27392,C08C,A02B
27393,C02C,C10A
27394,N02C,N06A
27395,L01D,L01C
27396,C07A,N05B
27397,C09A,L02B
27398,L01D,A04A
27399,D10A,C09A
27400,D01A,D11A
27401,H02A,J01E
27402,M05B,L01X
27403,L01D,A03A
27404,N04B,N05C
27405,M05B,N06A
27406,N06D,N06B
27407,H03A,R01A
27408,A16A,C01D
27409,H03A,C09C
27410,C07A,M02A
27411,L02A,M01A
27412,L02A,M05B
27413,D01A,N05B
27414,N05A,A10B
27415,R01A,D11A
27416,C01D,H01B
27417,P01B,R03A
27418,A02B,L02B
27419,J05A,J02A
27420,L01X,A02B
27421,L02B,H02A
27422,A02B,S01A
27423,J01D,V03A
27424,J02A,M01A
27425,A01A,C10A
27426,L01C,M05B
27427,M05B,A04A
27428,R06A,L01X
27429,C10A,N06B
27430,J05A,R01A
27431,R06A,J01F
27432,C09A,A02B
27433,J02A,L04A
27434,J01D,R01A
27435,J02A,S01A
27436,N02B,A02B
27437,M01A,S01E
27438,A07D,P01B
27439,L01B,A04A
27440,M01A,J01D
27441,C10A,L01C
27442,N06A,C09C
27443,C10A,A04A
27444,J02A,N05B
27445,R03D,G04B
27446,N03A,B01A
27447,N05B,S01A
27448,N03A,N03A
27449,N03A,S01E
27450,A02B,N07B
27451,G04B,C10A
27452,R06A,M01A
27453,A02B,S01A
27454,C08D,B01A
27455,C10A,C09A
27456,A04A,H02A
27457,C10A,N05A
27458,C08D,S01E
27459,J05A,A02B
27460,C07A,N05C
27461,C07A,N05C
27462,A05A,A06A
27463,L01C,J05A
27464,L04A,N06A
27465,C04A,L01A
27466,G04B,A10B
27467,C10A,J05A
27468,P01A,R03D
27469,C09A,L01C
27470,N02B,N05A
27471,H02A,N05C
27472,N03A,M01A
27473,A03B,M04A
27474,A10B,D11A
27475,L01X,A04A
27476,R03D,A02B
27477,C07A,J05A
27478,L01D,L01X
27479,H03A,L01D
27480,C09A,N05A
27481,L01B,C09A
27482,L01B,A02B
27483,J01D,N05B
27484,J05A,A05A
27485,C09C,D11A
27486,J02A,C10A
27487,J02A,C09C
27488,D01A,B05X
27489,M02A,N05A
27490,M02A,C09C
27491,M02A,C10A
27492,J01D,A10B
27493,C08C,J01F
27494,C08C,J01X
27495,S01A,N05A
27496,C09C,R03D
27497,C07A,J05A
27498,M02A,H02A
27499,N01A,N05C
27500,J01D,J01E
27501,C07A,C05A
27502,L01A,J05A
27503,N05B,C10A
27504,N05C,A02B
27505,J02A,J05A
27506,J05A,C09A
27507,J05A,A02B
27508,C09A,H02A
27509,R01A,R03D
27510,G03A,C03C
27511,L02A,S01E
27512,C09A,C02C
27513,L02A,L04A
27514,R03A,A07E
27515,S01A,N02C
27516,N05C,A04A
27517,A04A,C10A
27518,B01A,R01A
27519,N06A,L01X
27520,G03X,M05B
27521,C08C,B05C
27522,C07A,N07B
27523,G04B,B01A
27524,D11A,L04A
27525,L02A,N02C
27526,L02B,L01X
27527,M02A,D11A
27528,N02A,D11A
27529,M01A,N05C
27530,N02B,C07A
27531,N02B,N01A
27532,C07A,N04B
27533,G04B,G04B
27534,D11A,A05A
27535,D11A,J05A
27536,J01D,A10B
27537,N01A,A02B
27538,J01A,N05A
27539,D11A,M05B
27540,A03A,N05C
27541,D11A,N05A
27542,L01D,D05A
27543,A02B,R01A
27544,D05A,C09C
27545,M05B,L02B
27546,R01A,R03D
27547,J04A,C09A
27548,R06A,A01A
27549,L02A,C10A
27550,R06A,M02A
27551,A01A,N01A
27552,L02A,M05B
27553,V03A,C10A
27554,S01E,A04A
27555,C08D,J01X
27556,C08D,C09C
27557,N05B,H02A
27558,C07A,J05A
27559,C07A,A05A
27560,G04B,C10A
27561,D11A,L01A
27562,D11A,N05C
27563,J02A,N05C
27564,A02B,L01X
27565,A04A,N06A
27566,N05B,A02B
27567,C03C,C04A
27568,L04A,A03F
27569,A05A,L01X
27570,R06A,N06A
27571,N03A,A10B
27572,M01A,C03D
27573,R06A,L01X
27574,N02C,M01A
27575,C09C,A10B
27576,D08A,C07A
27577,A03F,N06A
27578,C10A,L01D
27579,M01A,C03C
27580,C09A,A02B
27581,J04A,A10B
27582,C01E,J05A
27583,C01E,A05A
27584,N06A,A10B
27585,N03A,N05C
27586,N03A,N02C
27587,N05C,C01E
27588,N03A,N05C
27589,N03A,N03A
27590,A03F,N01A
27591,L01A,L01C
27592,C03B,C08C
27593,A03F,C07A
27594,J05A,A05A
27595,N05A,B05X
27596,C09A,J05A
27597,C01D,L01C
27598,N02B,C09A
27599,R03D,C09A
27600,C09C,D01A
27601,N02C,C05A
27602,J01D,J05A
27603,M01A,R01A
27604,A10B,A10B
27605,N02A,S01E
27606,L01B,L01X
27607,D10A,J05A
27608,A02B,L01X
27609,D05A,M01A
27610,M05B,L01X
27611,S01E,M01A
27612,D10A,N02C
27613,N02B,R03A
27614,N02A,M03A
27615,S01A,A10B
27616,C10A,L01X
27617,C10A,G04B
27618,D10A,G04B
27619,R06A,L01C
27620,C01D,J01F
27621,S01A,J01E
27622,J02A,N05C
27623,C10A,C03D
27624,N03A,N03A
27625,M01A,M03B
27626,A10B,L01X
27627,N06A,C10A
27628,R03D,G04C
27629,M01A,A02B
27630,L02B,N06A
27631,A10B,C09A
27632,A04A,J01D
27633,B01A,M03A
27634,N06A,C03B
27635,L01C,A10B
27636,B01A,G04B
27637,P01A,L01D
27638,M01A,H03B
27639,M05B,N04B
27640,S01A,L01C
27641,J01C,C10A
27642,B05X,M05B
27643,C07A,A07E
27644,D11A,M01A
27645,C09A,A10B
27646,B01A,S01E
27647,N07B,N02A
27648,S01A,L01A
27649,R03A,S01E
27650,B01A,J05A
27651,M05B,N02A
27652,C07A,A10B
27653,J01D,H02A
27654,N05B,C09C
27655,J05A,J01F
27656,C07A,C09C
27657,N06B,N03A
27658,N05B,C01D
27659,N05B,R01A
27660,J01A,N07B
27661,M05B,N05A
27662,C08C,C07A
27663,N02B,L01B
27664,N06B,N05A
27665,N05A,N07B
27666,N05B,R03D
27667,L01D,M05B
27668,N06A,C10A
27669,C07A,S01E
27670,S01A,N05C
27671,A02B,R03D
27672,J05A,J05A
27673,N05B,N05A
27674,P01B,N02A
27675,N03A,N03A
27676,P01B,H02A
27677,C10A,A02B
27678,D05A,A10B
27679,D08A,R06A
27680,S01E,C08D
27681,N05C,C08C
27682,J01X,J01F
27683,N01A,C09C
27684,V03A,C07A
27685,J05A,A02B
27686,N05C,C09C
27687,A01A,J05A
27688,J02A,N05C
27689,C07A,J05A
27690,C03B,N05B
27691,M05B,M02A
27692,S01E,G04B
27693,S01A,R03D
27694,G04C,J01A
27695,N02A,C09C
27696,C07A,S01E
27697,N05B,P01B
27698,N05B,M01A
27699,V03A,C10A
27700,C07A,B01A
27701,A02B,J05A
27702,C01D,G04C
27703,N03A,L01X
27704,A10B,N06A
27705,C08C,C10A
27706,M02A,J02A
27707,N03A,V03A
27708,R06A,M04A
27709,N04B,A10B
27710,N05A,N04A
27711,C07A,C03A
27712,C03B,N06A
27713,C08C,M05B
27714,B01A,R01A
27715,N03A,J05A
27716,J02A,J05A
27717,J05A,C03C
27718,C09A,N06A
27719,J02A,J01F
27720,R03A,N03A
27721,C09A,L01A
27722,N05B,B01A
27723,J05A,C07A
27724,A10B,B05X
27725,V03A,D11A
27726,S01A,C07A
27727,C09A,R06A
27728,J02A,C09A
27729,L01B,C03D
27730,M03A,N01A
27731,M01A,A10B
27732,N05B,C10A
27733,R06A,N03A
27734,C08D,J02A
27735,C08D,L01B
27736,C10A,B01A
27737,D11A,D10A
27738,C01E,N06B
27739,J05A,M05B
27740,M01A,N05B
27741,M02A,N06A
27742,S01E,M01A
27743,C10A,A06A
27744,N06B,C10A
27745,N06A,C10A
27746,C07A,N02C
27747,A02B,C01E
27748,B05C,C10A
27749,L04A,C03D
27750,R01A,N02C
27751,R06A,H02A
27752,H02A,C07A
27753,A10B,A04A
27754,R03D,R06A
27755,N03A,A03F
27756,N01A,A06A
27757,M05B,D11A
27758,M05B,N02C
27759,M05B,N05C
27760,M05B,N05C
27761,M05B,N03A
27762,J05A,P01A
27763,N03A,M03B
27764,N05B,N06B
27765,C01D,J05A
27766,S01A,C09C
27767,C01D,A05A
27768,N03A,C08C
27769,A02B,N01A
27770,R03A,J05A
27771,R03A,A05A
27772,R06A,A07E
27773,N05B,L01B
27774,R03D,C09C
27775,M02A,L01X
27776,N05A,C10A
27777,R01A,L01A
27778,V03A,A04A
27779,B01A,A07E
27780,M02A,J02A
27781,B05C,L01B
27782,C08D,L02B
27783,C08C,A10B
27784,A04A,L01C
27785,H02A,G03X
27786,S01A,N03A
27787,B01A,C10A
27788,R03D,N03A
27789,H03A,J05A
27790,J05A,C10A
27791,C03C,N02C
27792,C03C,N05C
27793,J05A,J05A
27794,H03A,P01B
27795,A10B,M03B
27796,C10A,J01C
27797,C01D,N05C
27798,C01D,N05C
27799,C01D,N03A
27800,C09A,G04C
27801,R01A,R06A
27802,R03A,D11A
27803,N06A,V03A
27804,M02A,A02B
27805,G04B,C01D
27806,C02A,C07A
27807,L04A,C07A
27808,G04C,J05A
27809,G04C,C07A
27810,C01D,A06A
27811,N05B,J05A
27812,J01D,L01X
27813,C09A,R01A
27814,A02B,N06D
27815,A02B,M01A
27816,A02B,L01A
27817,L01B,L02A
27818,C07A,N02A
27819,J04A,A02B
27820,J04A,C09A
27821,C10A,C03C
27822,A02B,N02A
27823,J05A,C05A
27824,A02B,C09C
27825,C09A,J01C
27826,L01C,R01A
27827,A10B,J01F
27828,J05A,V03A
27829,N03A,G04C
27830,N03A,D01A
27831,N06A,N07B
27832,C07A,P01A
27833,N05C,J01F
27834,R01A,R06A
27835,A10B,N02A
27836,M01A,D10A
27837,N06B,C10A
27838,G04C,N05B
27839,R01A,C10A
27840,G04C,A07D
27841,A07D,A07E
27842,C10A,J02A
27843,J02A,J05A
27844,C03A,N05B
27845,L01X,N06A
27846,L02B,N06A
27847,C03A,P01B
27848,G03X,N06A
27849,J05A,M01A
27850,C03A,L01X
27851,R01A,J05A
27852,G04B,M04A
27853,R01A,J01C
27854,R01A,J05A
27855,S01E,N04A
27856,R01A,L01X
27857,A07D,C09A
27858,J05A,N05A
27859,J05A,C09A
27860,B01A,S01E
27861,N01A,C09A
27862,C01B,C07A
27863,R06A,C01D
27864,N05A,M01A
27865,N06B,S01A
27866,R06A,C08C
27867,A04A,N06A
27868,S01A,A02B
27869,S01A,C09A
27870,H02A,C01D
27871,M01A,A02B
27872,M01A,A04A
27873,M01A,R01A
27874,J05A,B01A
27875,C03C,J02A
27876,M01A,C09C
27877,N03A,A01A
27878,C08C,N05A
27879,N03A,M02A
27880,B01A,P01A
27881,B01A,C03B
27882,B01A,C07A
27883,C08C,N06A
27884,L04A,N05B
27885,L04A,M01A
27886,A10B,A10B
27887,C01E,C03A
27888,A16A,N02B
27889,C09A,J01F
27890,A06A,C10A
27891,R06A,A04A
27892,J01A,J01E
27893,C01B,C07A
27894,C01D,N05B
27895,C03D,A06A
27896,D08A,C10A
27897,N04B,C08D
27898,G04B,C10A
27899,N04B,D05A
27900,N01A,C09A
27901,N01A,A02B
27902,V03A,S01A
27903,N01A,G03X
27904,N07A,N06A
27905,J01D,J05A
27906,L01A,C09A
27907,C03C,N05C
27908,J01D,C10A
27909,A04A,L02B
27910,C01E,C07A
27911,L04A,H02A
27912,J05A,N05A
27913,C08C,C01D
27914,R06A,D10A
27915,A03F,M01A
27916,C08D,N06B
27917,R06A,S01A
27918,N02C,B01A
27919,C01E,R03D
27920,A10B,C09A
27921,L01D,L04A
27922,A10B,A07D
27923,J05A,L01X
27924,A04A,G04C
27925,N06A,N04A
27926,A10B,N05B
27927,C08C,R01A
27928,R01A,R01A
27929,C10A,R03D
27930,C10A,A10B
27931,D01A,C10A
27932,R01A,D07A
27933,J01D,C01B
27934,C10A,N02C
27935,J01E,G04B
27936,C10A,J05A
27937,N05A,C07A
27938,A02B,L01X
27939,D10A,A10B
27940,A02B,G04B
27941,N01B,J01D
27942,D01A,A07E
27943,L01A,L01A
27944,C07A,J05A
27945,C01B,C09C
27946,N06B,L01X
27947,J01D,A02B
27948,C02C,J02A
27949,C01D,H02A
27950,C02C,M02A
27951,S01A,A02B
27952,R01A,C01D
27953,C09A,N04A
27954,C07A,C01C
27955,R01A,J04A
27956,C07A,N05C
27957,D10A,M05B
27958,M01A,R06A
27959,A01A,B01A
27960,A02B,N07B
27961,N05C,A02B
27962,N05C,C09A
27963,N06A,L02B
27964,A03B,N05C
27965,C09C,D11A
27966,M01A,A06A
27967,C08D,C10A
27968,M01A,A07E
27969,B05X,C01E
27970,C07A,D11A
27971,R01A,N03A
27972,C09A,C10A
27973,R01A,J05A
27974,R03A,S01A
27975,C08D,H02A
27976,A10B,C09C
27977,N02A,R01A
27978,C08D,N03A
27979,A10B,J01X
27980,N03A,M05B
27981,L02A,C10A
27982,C08C,C03D
27983,C07A,C10A
27984,S01A,G03X
27985,V03A,J01D
27986,C09A,H05B
27987,N05B,J01D
27988,N05B,J01D
27989,S01A,C09A
27990,S01A,A02B
27991,N03A,H01B
27992,M03B,N07B
27993,A10B,N02A
27994,C08D,C10A
27995,A02B,N05A
27996,A02B,C04A
27997,N05B,N02A
27998,C07A,J02A
27999,H03A,J01D
28000,C08C,M05B
28001,C08C,C02D
28002,M03B,D10A
28003,C02A,N06A
28004,V03A,B01A
28005,L01B,C08D
28006,C08C,C09C
28007,N06A,C09C
28008,N03A,C01D
28009,L01A,N05B
28010,M04A,C09C
28011,M03B,N03A
28012,N05C,G04C
28013,N05A,G04C
28014,L01B,C08C
28015,N03A,G04B
28016,C09C,N06A
28017,C08D,M05B
28018,C09C,N01A
28019,V03A,R01A
28020,J01D,M01A
28021,R01A,C07A
28022,V03A,C10A
28023,N05B,C09A
28024,C08D,M01A
28025,J01D,A02B
28026,J01D,C01D
28027,B05C,D01A
28028,R06A,R03A
28029,N05B,N05C
28030,C07A,C10A
28031,C09C,L01X
28032,M03B,R06A
28033,J01F,L01X
28034,C07A,N07B
28035,C03C,N06A
28036,N02B,M03A
28037,C03C,A10B
28038,N03A,R06A
28039,S01E,J01D
28040,N02A,A04A
28041,N02A,A02B
28042,S01A,R01A
28043,L01D,C08C
28044,P01B,N07B
28045,L01D,C10A
28046,J01D,J01E
28047,H02A,M01A
28048,C03C,L01B
28049,S01A,A10B
28050,N06B,N05C
28051,B01A,D11A
28052,C09A,M03A
28053,C07A,C10A
28054,C01B,A10B
28055,J05A,G04B
28056,S01E,N03A
28057,C09A,B01A
28058,L01C,L01A
28059,A04A,L01A
28060,S01E,H02A
28061,C08C,J01X
28062,C08C,C09C
28063,R06A,D10A
28064,C08C,C01E
28065,S01A,M03A
28066,N05B,N02C
28067,L02A,A04A
28068,D01A,J05A
28069,G04C,C10A
28070,L01B,H02A
28071,M03B,M05B
28072,L02A,N06D
28073,D11A,G04B
28074,B01A,H01C
28075,L02A,M01A
28076,A04A,D10A
28077,N02A,N02C
28078,C07A,H05B
28079,C07A,L01C
28080,C09C,H05B
28081,N05B,N06A
28082,N05B,G04C
28083,H02A,V03A
28084,R01A,N07B
28085,C07A,A07D
28086,N02B,N05C
28087,N03A,C10A
28088,C10A,B03B
28089,C10A,N06B
28090,N02B,N03A
28091,N02A,A10B
28092,S01A,A02B
28093,J05A,R03A
28094,L01B,S01E
28095,M05B,D11A
28096,J05A,M05B
28097,C03C,L01X
28098,C09A,A06A
28099,C07A,L02B
28100,C08C,L02A
28101,J04A,C03D
28102,J02A,R01A
28103,C09A,J05A
28104,J02A,C10A
28105,B05C,N01A
28106,H02A,A04A
28107,J05A,J05A
28108,N06A,C09C
28109,N06A,J01X
28110,R03A,C03D
28111,N05B,N02C
28112,J01D,B03B
28113,L01A,L01X
28114,N05B,N06A
28115,M01A,J05A
28116,R06A,C07A
28117,L01A,L01X
28118,M05B,L01X
28119,A01A,S01E
28120,C07A,N06B
28121,G04B,C01D
28122,M01A,A07E
28123,B01A,C09A
28124,B01A,J02A
28125,C07A,R06A
28126,C08D,J01A
28127,R06A,P01A
28128,D11A,A10B
28129,N04A,L02A
28130,H03A,N06A
28131,J01D,R06A
28132,C08C,N05C
28133,G04B,J01X
28134,J01D,C09A
28135,M01A,M03B
28136,M01A,B03B
28137,J01D,C08C
28138,C08C,A10B
28139,R06A,N06A
28140,J01D,J02A
28141,B01A,H03B
28142,N05B,L01X
28143,L01A,N05C
28144,N03A,N06A
28145,M03A,B05C
28146,C08D,C09C
28147,B01A,C01D
28148,A02B,M03A
28149,C09A,N05A
28150,J02A,C04A
28151,C01B,N05A
28152,D05A,J05A
28153,J05A,N06A
28154,C09A,A07E
28155,N05B,N05C
28156,D10A,C08C
28157,H03A,D11A
28158,N05B,R03D
28159,J05A,J02A
28160,C07A,N05B
28161,C10A,L01B
28162,V03A,M05B
28163,C04A,H02A
28164,A10B,A02B
28165,C07A,A07D
28166,J01D,N05B
28167,B01A,N04A
28168,H02A,S01A
28169,S01E,H02A
28170,N05A,N02A
28171,A02B,C10A
28172,C08C,J02A
28173,C07A,L01A
28174,M01A,J04A
28175,A10B,A10B
28176,C08C,B01A
28177,D11A,L02A
28178,R03A,L01X
28179,M01A,C07A
28180,J01D,N02A
28181,J02A,S01A
28182,R03A,J05A
28183,R03A,N04A
28184,R03A,J01C
28185,G04B,N05A
28186,L01B,P01A
28187,G04B,C09A
28188,C01E,A10B
28189,M01A,C09A
28190,M01A,A02B
28191,R06A,N05C
28192,M01A,G03X
28193,S01A,R06A
28194,J04A,J05A
28195,A10B,A10B
28196,N05A,C03A
28197,C03A,N05C
28198,C01D,B05C
28199,C09A,M05B
28200,A03F,A04A
28201,A03F,A02B
28202,L01X,L01X
28203,C10A,C10A
28204,L01B,C07A
28205,N05A,J02A
28206,L01X,B01A
28207,C07A,S01E
28208,J05A,A07E
28209,M01A,D07A
28210,L02B,D01A
28211,C03C,M05B
28212,C08C,R03D
28213,A04A,N05C
28214,C07A,A10B
28215,S01A,C07A
28216,R03A,R01A
28217,S01A,N01A
28218,R06A,J05A
28219,D10A,J05A
28220,R03A,N05A
28221,M05B,A02B
28222,C07A,N02C
28223,P01B,B01A
28224,M01A,L02A
28225,M01A,R06A
28226,V03A,N03A
28227,C08D,S01A
28228,S01A,S01A
28229,C07A,N02A
28230,A10B,L01X
28231,C08D,L02B
28232,M01A,A06A
28233,L04A,L02B
28234,R06A,C09A
28235,J01D,C09A
28236,C07A,M04A
28237,C07A,N05A
28238,C09A,A02B
28239,S01E,C10A
28240,N05C,C03C
28241,N05B,C01E
28242,M03B,L01X
28243,R03A,S01E
28244,C09C,N05B
28245,C09C,C09A
28246,A10B,N05C
28247,C09C,A07D
28248,M04A,C10A
28249,C10A,R06A
28250,C10A,A02B
28251,C03A,J01A
28252,M05B,L02A
28253,C03A,S01E
28254,M05B,A10B
28255,M05B,N05A
28256,M05B,R06A
28257,A02B,G04C
28258,C10A,A02B
28259,C10A,S01A
28260,C10A,G03X
28261,C10A,D10A
28262,N05B,J01D
28263,L04A,N02A
28264,C10A,C09C
28265,L01A,M01A
28266,L04A,M01A
28267,C09C,R01A
28268,C03C,N07B
28269,C09A,J05A
28270,D01A,P01A
28271,D01A,C07A
28272,D01A,L01B
28273,C09A,C02C
28274,C09A,H02A
28275,J01C,C10A
28276,C10A,R03D
28277,L01B,R03D
28278,J01A,G04C
28279,M01A,L01C
28280,C10A,J04A
28281,M02A,N05A
28282,C09C,J01M
28283,M05B,H02A
28284,M05B,C02C
28285,C10A,S01E
28286,C09C,C03D
28287,C10A,G04B
28288,M03B,J04A
28289,N05A,N05B
28290,S01A,C10A
28291,B03B,N01A
28292,N06A,N07B
28293,L01X,A04A
28294,M01A,N01A
28295,M01A,R06A
28296,N06A,G04B
28297,M01A,N06A
28298,R01A,G04B
28299,J05A,J01F
28300,R06A,R06A
28301,N05B,C09A
28302,C09A,C07A
28303,C10A,B05X
28304,S01E,C09A
28305,A10B,N05B
28306,C09A,B05X
28307,M03B,A07D
28308,L01D,L01D
28309,S01A,B01A
28310,C08C,J05A
28311,C02A,C10A
28312,J01D,H02A
28313,C01D,G04B
28314,S01E,L01C
28315,J01D,M05B
28316,B01A,A02B
28317,C01D,L01X
28318,P01A,N06B
28319,H03A,N05B
28320,A10B,L01X
28321,C09A,D11A
28322,N05B,N05C
28323,D11A,C08C
28324,B05C,L01X
28325,M02A,C03B
28326,L01X,D10A
28327,A02B,B03B
28328,A02B,C10A
28329,C01B,L01X
28330,C07A,L01A
28331,C01D,N05C
28332,R06A,N03A
28333,G04C,C10A
28334,A10B,N05A
28335,J01A,A02B
28336,R06A,H02A
28337,G04C,C08C
28338,N02A,N06A
28339,C10A,N06B
28340,C09A,N05A
28341,C09C,R06A
28342,A02B,L01A
